,a_connector_pad_Q1,a_connector_pad_Q2,a_connector_pad_Q3,a_connector_pad_Q4,c_connector_pad_Q1,c_connector_pad_Q2,c_connector_pad_Q3,c_connector_pad_Q4,cl_metal_Q1,cl_metal_Q2,cl_metal_Q3,cl_metal_Q4,launch_pad_CL1,launch_pad_CL2,launch_pad_CL3,launch_pad_CL4,launch_pad_R1,launch_pad_R2,launch_pad_R3,launch_pad_R4,pad_bot_Q1,pad_bot_Q2,pad_bot_Q3,pad_bot_Q4,pad_top_Q1,pad_top_Q2,pad_top_Q3,pad_top_Q4
a_connector_pad_Q1,1211.92237,-0.19101,-0.10121,-0.00148,-0.13295,-0.0011,-0.25262,-0.00023,-0.01352,-0.00053,-0.29087,-0.00024,-0.00013,-8e-05,-0.00082,-0.00014,-0.00048,-9e-05,-0.00147,-7e-05,-13.27388,-0.00642,-1.2781,-0.00125,-1.01828,-0.00279,-14.37948,-0.00136
a_connector_pad_Q2,-0.19101,1325.31432,-0.00852,-0.08496,-0.065,-0.17989,-0.0038,-0.00081,-0.02778,-0.01401,-0.00495,-0.0004,-0.00045,-0.0001,-0.00038,-8e-05,-0.00049,-0.00059,-0.00022,-0.00013,-1.06163,-13.59402,-0.01089,-0.00145,-13.51356,-1.07627,-0.01641,-0.00213
a_connector_pad_Q3,-0.10121,-0.00852,1262.7793,-0.25177,-0.00047,-0.00306,-0.24792,-0.09772,-0.00039,-0.00515,-0.01558,-0.0322,-8e-05,-0.00036,-7e-05,-0.0004,-0.0001,-0.00014,-0.00051,-0.00049,-0.00272,-0.01217,-13.80373,-1.18909,-0.00233,-0.01608,-1.14261,-14.16648
a_connector_pad_Q4,-0.00148,-0.08496,-0.25177,1163.91335,-0.00075,-0.22418,-0.00152,-0.29874,-0.00023,-0.27833,-0.00036,-0.01842,-0.00014,-0.00068,-8e-05,-0.00013,-8e-05,-0.00141,-0.00012,-0.00048,-0.00037,-1.21967,-0.00194,-13.90284,-0.00046,-14.14871,-0.00177,-1.17898
c_connector_pad_Q1,-0.13295,-0.065,-0.00047,-0.00075,1455.97746,-0.00025,-0.0025,-0.00027,-0.16302,-0.00089,-0.13258,-0.00024,-0.00056,-7e-05,-0.01475,-8e-05,-4.72237,-0.00014,-0.00026,-6e-05,-13.27749,0.0,-0.0015,-0.0003,-1.03936,-0.00272,-0.00373,-0.00015
c_connector_pad_Q2,-0.0011,-0.17989,-0.00306,-0.22418,-0.00025,1420.95101,-0.00092,-0.00169,-0.00094,-0.19657,-0.00034,-0.00045,-0.00033,-0.00034,-0.00012,-9e-05,-9e-05,-4.71388,-9e-05,-0.00021,-0.00118,-13.62263,-0.00132,-0.00226,-0.00064,-1.0751,-0.00117,-0.00244
c_connector_pad_Q3,-0.25262,-0.0038,-0.24792,-0.00152,-0.0025,-0.00092,1393.55287,-0.00055,-0.00047,-0.00028,-0.19763,-0.0009,-4e-05,-6e-05,-0.00024,-0.00031,-0.00021,-6e-05,-4.71705,-0.0001,-0.00314,-0.00118,-13.84715,-0.00071,-0.0033,-0.00219,-1.13432,-0.00084
c_connector_pad_Q4,-0.00023,-0.00081,-0.09772,-0.29874,-0.00027,-0.00169,-0.00055,1364.39087,-0.00022,-0.12601,-0.00021,-0.18694,-7e-05,-0.01411,-8e-05,-0.00039,-5e-05,-0.00028,-0.00012,-4.7145,-0.00031,-0.00239,-0.00047,-13.89804,-0.00028,-0.0029,-0.00028,-1.20421
cl_metal_Q1,-0.01352,-0.02778,-0.00039,-0.00023,-0.16302,-0.00094,-0.00047,-0.00022,895.50813,-0.00018,-0.00321,-0.00044,-4.67395,-4e-05,-0.00058,-3e-05,-0.00269,-0.00012,-5e-05,-4e-05,-0.30894,-0.00112,-0.00062,-0.0002,-0.64173,0.0,-0.00106,-0.00019
cl_metal_Q2,-0.00053,-0.01401,-0.00515,-0.27833,-0.00089,-0.19657,-0.00028,-0.12601,-0.00018,975.45193,-0.00032,-0.00335,-0.00014,-4.67519,-4e-05,-0.00014,-7e-05,-0.00391,-4e-05,-0.00349,-0.00031,-0.27543,-0.00068,-0.0167,-0.00042,-0.46706,-0.00052,-0.0134
cl_metal_Q3,-0.29087,-0.00495,-0.01558,-0.00036,-0.13258,-0.00034,-0.19763,-0.00021,-0.00321,-0.00032,975.38001,-0.00046,-0.00012,-2e-05,-4.6768,-0.0002,-0.00335,-4e-05,-0.00395,-4e-05,-0.01996,-0.00083,-0.24976,-0.00025,-0.01454,-0.00067,-0.39398,-0.00034
cl_metal_Q4,-0.00024,-0.0004,-0.0322,-0.01842,-0.00024,-0.00045,-0.0009,-0.18694,-0.00044,-0.00335,-0.00046,895.69005,-4e-05,-0.00046,-4e-05,-4.67217,-3e-05,-7e-05,-0.00013,-0.00261,-0.00031,-0.0004,-0.00087,-0.24735,-0.00028,-0.00083,-0.00072,-0.40405
launch_pad_CL1,-0.00013,-0.00045,-8e-05,-0.00014,-0.00056,-0.00033,-4e-05,-7e-05,-4.67395,-0.00014,-0.00012,-4e-05,55.69074,-3e-05,-7e-05,-6e-05,-0.00014,-8e-05,-2e-05,-2e-05,-0.00031,-0.00011,-3e-05,-4e-05,-0.00028,-0.00034,-9e-05,-5e-05
launch_pad_CL2,-8e-05,-0.0001,-0.00036,-0.00068,-7e-05,-0.00034,-6e-05,-0.01411,-4e-05,-4.67519,-2e-05,-0.00046,-3e-05,55.64888,-3e-05,-1e-05,-1e-05,-0.0001,-1e-05,-0.00171,-7e-05,-0.00025,-0.00011,-0.00087,-7e-05,-0.00017,-5e-05,-0.00073
launch_pad_CL3,-0.00082,-0.00038,-7e-05,-8e-05,-0.01475,-0.00012,-0.00024,-8e-05,-0.00058,-4e-05,-4.6768,-4e-05,-7e-05,-3e-05,55.6567,-3e-05,-0.00174,-1e-05,-0.0001,-2e-05,-0.00158,-7e-05,0.0,-5e-05,-0.00118,-7e-05,-0.00035,-6e-05
launch_pad_CL4,-0.00014,-8e-05,-0.0004,-0.00013,-8e-05,-9e-05,-0.00031,-0.00039,-3e-05,-0.00014,-0.0002,-4.67217,-6e-05,-1e-05,-3e-05,55.68497,-2e-05,-2e-05,-7e-05,-0.00011,-5e-05,-8e-05,-0.00018,-0.00016,-6e-05,-7e-05,-0.0001,-0.00024
launch_pad_R1,-0.00048,-0.00049,-0.0001,-8e-05,-4.72237,-9e-05,-0.00021,-5e-05,-0.00269,-7e-05,-0.00335,-3e-05,-0.00014,-1e-05,-0.00174,-2e-05,55.64693,-1e-05,-5e-05,-2e-05,-0.0015,-7e-05,-0.00018,-4e-05,-0.00145,-6e-05,-0.00012,-4e-05
launch_pad_R2,-9e-05,-0.00059,-0.00014,-0.00141,-0.00014,-4.71388,-6e-05,-0.00028,-0.00012,-0.00391,-4e-05,-7e-05,-8e-05,-0.0001,-1e-05,-2e-05,-1e-05,55.66885,-2e-05,-5e-05,-0.00028,-0.00145,-6e-05,-0.00017,-0.00021,-0.00113,-0.00043,-0.00016
launch_pad_R3,-0.00147,-0.00022,-0.00051,-0.00012,-0.00026,-9e-05,-4.71705,-0.00012,-5e-05,-4e-05,-0.00395,-0.00013,-2e-05,-1e-05,-0.0001,-7e-05,-5e-05,-2e-05,55.63168,-3e-05,-0.00028,-9e-05,-0.00137,-8e-05,-0.00027,-0.00011,-0.00119,-0.0001
launch_pad_R4,-7e-05,-0.00013,-0.00049,-0.00048,-6e-05,-0.00021,-0.0001,-4.7145,-4e-05,-0.00349,-4e-05,-0.00261,-2e-05,-0.00171,-2e-05,-0.00011,-2e-05,-5e-05,-3e-05,55.64459,-5e-05,-0.00028,-4e-05,-0.00093,-6e-05,-0.00011,-0.00012,-0.00098
pad_bot_Q1,-13.27388,-1.06163,-0.00272,-0.00037,-13.27749,-0.00118,-0.00314,-0.00031,-0.30894,-0.00031,-0.01996,-0.00031,-0.00031,-7e-05,-0.00158,-5e-05,-0.0015,-0.00028,-0.00028,-5e-05,129.22274,-0.00081,-0.01094,-0.00051,-38.38508,-0.00156,-0.00779,-0.00087
