,a_connector_pad_Q1,a_connector_pad_Q2,a_connector_pad_Q3,a_connector_pad_Q4,c_connector_pad_Q1,c_connector_pad_Q2,c_connector_pad_Q3,c_connector_pad_Q4,cl_metal_Q1,cl_metal_Q2,cl_metal_Q3,cl_metal_Q4,launch_pad_CL1,launch_pad_CL2,launch_pad_CL3,launch_pad_CL4,launch_pad_R1,launch_pad_R2,launch_pad_R3,launch_pad_R4,pad_bot_Q1,pad_bot_Q2,pad_bot_Q3,pad_bot_Q4,pad_top_Q1,pad_top_Q2,pad_top_Q3,pad_top_Q4
a_connector_pad_Q1,1210.85977,-0.19035,-0.07706,-0.00145,-0.13273,-0.00106,-0.20723,-0.00024,-0.01355,-0.00049,-0.27833,-0.00024,-0.00012,-7e-05,-0.00082,-0.00014,-0.00046,-8e-05,-0.00143,-7e-05,-13.26098,-0.0069,-1.19185,-0.00097,-1.01798,-0.00294,-13.99225,-0.00106
a_connector_pad_Q2,-0.19035,1324.71931,-0.00797,-0.07276,-0.06508,-0.1346,-0.00353,-0.00075,-0.0277,-0.01259,-0.00495,-0.0004,-0.00046,-0.0001,-0.00038,-8e-05,-0.00049,-0.00059,-0.00022,-0.0001,-1.06178,-13.32655,-0.01203,-0.0016,-13.5146,-1.01098,-0.01772,-0.00222
a_connector_pad_Q3,-0.07706,-0.00797,1260.0047,-0.1992,-0.00044,-0.002,-0.14332,-0.07002,-0.00038,-0.00473,-0.01288,-0.02791,-7e-05,-0.00035,-8e-05,-0.00039,-8e-05,-0.00018,-0.00051,-0.00043,-0.00254,-0.01226,-13.38732,-1.08145,-0.00216,-0.01643,-1.02575,-13.72947
a_connector_pad_Q4,-0.00145,-0.07276,-0.1992,1162.22026,-0.00132,-0.20057,-0.00141,-0.15879,-0.00024,-0.27012,-0.00038,-0.01494,-0.00015,-0.00064,-8e-05,-0.00012,-6e-05,-0.00137,-0.0001,-0.00044,-0.00034,-1.16931,-0.00231,-13.49976,-0.00043,-13.88014,-0.00177,-1.06224
c_connector_pad_Q1,-0.13273,-0.06508,-0.00044,-0.00132,1456.99095,-0.00028,-0.00247,-0.00029,-0.16305,-0.00089,-0.13271,-0.00025,-0.00054,-7e-05,-0.01474,-7e-05,-4.72237,-0.00014,-0.00026,-7e-05,-13.28438,0.0,-0.0018,-0.00034,-1.03956,-0.00297,-0.00402,-0.00028
c_connector_pad_Q2,-0.00106,-0.1346,-0.002,-0.20057,-0.00028,1421.03603,-0.00168,-0.00158,-0.00093,-0.19165,-0.0003,-0.00049,-0.00035,-0.00034,-0.0001,-9e-05,-0.00013,-4.71271,-8e-05,-0.00019,-0.00121,-13.36549,-0.0014,-0.003,-0.00067,-1.01623,-0.00131,-0.00283
c_connector_pad_Q3,-0.20723,-0.00353,-0.14332,-0.00141,-0.00247,-0.00168,1392.29581,-0.00118,-0.00042,-0.00029,-0.18854,-0.00089,-6e-05,-8e-05,-0.00021,-0.0003,-0.00017,-3e-05,-4.71275,-0.00012,-0.00293,-0.00128,-13.439,-0.00078,-0.0031,-0.00228,-1.03081,-0.00081
c_connector_pad_Q4,-0.00024,-0.00075,-0.07002,-0.15879,-0.00029,-0.00158,-0.00118,1363.07324,-0.00018,-0.12539,-0.00016,-0.17581,-9e-05,-0.01407,-6e-05,-0.00038,-6e-05,-0.00026,-0.0001,-4.70981,-0.0003,-0.00244,-0.00057,-13.49353,-0.00027,-0.0027,-0.00022,-1.08056
cl_metal_Q1,-0.01355,-0.0277,-0.00038,-0.00024,-0.16305,-0.00093,-0.00042,-0.00018,895.83966,-0.00029,-0.00308,-0.0004,-4.67415,-5e-05,-0.00057,-3e-05,-0.0027,-0.00014,-6e-05,-3e-05,-0.30879,-0.00118,-0.00066,-0.00023,-0.64161,0.0,-0.00118,-0.00022
cl_metal_Q2,-0.00049,-0.01259,-0.00473,-0.27012,-0.00089,-0.19165,-0.00029,-0.12539,-0.00029,975.53278,-0.00055,-0.00307,-0.00013,-4.6748,-4e-05,-0.00013,-4e-05,-0.00392,-6e-05,-0.00349,-0.00021,-0.29781,-0.00032,-0.01895,-0.00028,-0.56849,-0.00052,-0.01445
