"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]","re(Mode(3)) [g]","re(Mode(4)) [g]","re(Mode(5)) [g]","re(Mode(6)) [g]"
1,1.56416905646109,2.65530235744849,2.92123179443268,4.00484983341691,6.44465791647669,6.87155975418425
2,2.60885782400017,3.45043360715534,3.90185374565907,5.94687829087983,6.17073232883176,7.19103999491773
3,3.2534844848092,4.33156698015936,5.09756963288289,6.43778371414954,6.55163698299627,7.07159637035401
4,3.87200389827525,5.36608689988921,6.14925844492681,6.92952845687319,7.27932450536934,7.42196685719907
5,4.2044898644179,5.82738424048253,6.59851498978229,7.3108400995939,7.32931127990185,7.50735439949365
6,4.61500439260367,6.28744630601688,6.91655549774897,7.50091220921549,7.55671315637398,7.70674890587741
7,4.82470749879149,6.52429521295717,7.14797479436415,7.51015547969232,7.82222129265232,8.00659643465628
8,4.94124118054517,6.65038041686811,7.29335898206007,7.54654255417621,7.9392586012668,8.15538599009254
9,5.02359393595227,6.73268838613327,7.40432879193258,7.57159534917141,7.99752502784186,8.19665385619166
10,5.11335978221264,6.78478359827257,7.48098541816126,7.60943001760129,8.09016096586891,8.26945360805136
